name,location,ratings,cost,cuisine,cost category
Kanti Sweets,"Yeshwanthpur,Bangalore",4.3,150,Sweets,High
M GRILL,"Yeshwanthpur,Bangalore",4,300,"Grill,Tandoor",High
Cafe Coffee Day,"Yeshwanthpur,Bangalore",4.1,300,"Beverages,Snacks",High
Mamma Rotti Family Restaurant,"Yeshwanthpur,Bangalore",3.7,400,"North Indian,Chinese",High
The Dessert Zone,"Yeshwanthpur,Bangalore",4,200,"Bakery,Desserts",Medium
7 star Ambur Dum Biriyani,"Yeshwanthpur,Bangalore",3.6,250,Biryani,Medium
Athiti Grand,"Yeshwanthpur,Bangalore",4,200,"Indian,North Indian",Medium
Malgudi's Donne Biriyani.,"Yeshwanthpur,Bangalore",4.2,300,Biryani,Medium
Canteen Central by Eatfit,"Yeshwanthpur,Bangalore",4.1,350,"Pizzas,American",Medium
Burger It Up,"Yeshwanthpur,Bangalore",4.3,150,"American,Fast Food",High
Bhavani Vada Pav,"Yeshwanthpur,Bangalore",3.8,100,"Maharashtrian,Snacks",Low
AB s-Absolute Barbecues,"Yeshwanthpur,Bangalore",3.3,400,"Barbecue,Italian",High
Hotel Aasare,"Yeshwanthpur,Bangalore",4.3,300,"Biryani,South Indian",High
Smoodies & Juices: Yours Fruitfully,"Yeshwanthpur,Bangalore",3.7,140,"Snacks,Healthy Food",High
Burger It Up,"Geddalahalli,Bangalore",4.2,150,"American,Fast Food",High
Leon Grill,"Geddalahalli,Bangalore",4.2,200,"American,Turkish",Low
Calcutta victoria chat house,"Geddalahalli,Bangalore",3.6,200,"Chaat,North Indian",High
Thalassery Restaurant,"Geddalahalli,Bangalore",4.1,300,"South Indian,Arabian",High
Snack House,"Geddalahalli,Bangalore",4,300,"Fast Food,Street Food",High
Paratha Lounge,"Geddalahalli,Bangalore",4.5,200,Indian,Medium
Nandhana Palace,"Geddalahalli,Bangalore",4.2,500,Andhra,High
PAANOOR RESTAURANT & CAFE,"Geddalahalli,Bangalore",3.8,250,"Indian,Chinese",Medium
Sri Devi Vaibhav,"Geddalahalli,Bangalore",4.2,200,"South Indian,North Indian",High
19 Galli Foods,"Geddalahalli,Bangalore",4.3,150,"South Indian,Chinese",Medium
KFC,"Geddalahalli,Bangalore",3.9,400,"American,Snacks",High
New Krishna Sagar Fast Food,"Geddalahalli,Bangalore",4.1,500,"Chinese,South Indian",High
BOX8 - Desi Meals,"Geddalahalli,Bangalore",3.9,250,"North Indian,Biryani",Medium
Chikpet Donne Biriyani House,"Geddalahalli,Bangalore",3.9,300,Biryani,Medium
Five Star Chicken,"Geddalahalli,Bangalore",4.4,300,Fast Food,Medium
Anand Sweets and Savouries,"Geddalahalli,Bangalore",4.4,150,"Sweets,North Indian",High
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Geddalahalli,Bangalore",4.3,250,"Beverages,Desserts",Low
The Yellow Tree,"Geddalahalli,Bangalore",4.1,700,"Continental,Desserts",High
K C Das Thanisandra,"Geddalahalli,Bangalore",3.9,150,"Indian,Sweets",High
Udupi Sannidhi Grand,"Geddalahalli,Bangalore",3.9,200,South Indian,Low
PANDIT CHAT HOUSE,"Geddalahalli,Bangalore",3.4,200,"Indian,Snacks",Medium
Sundae Everyday Ice Creams,"Geddalahalli,Bangalore",4.1,150,"Ice Cream,Desserts",Medium
My Little China,"Geddalahalli,Bangalore",3.8,250,"Chinese,North Indian",High
Gopaljee Cafe,"Koramangala,Bangalore",4.2,350,"Indian,North Indian",High
NOTO Healthy Ice Cream,"Koramangala,Bangalore",4.3,250,Ice Cream,Medium
Khawa Karpo,"Koramangala,Bangalore",4.5,178,Chinese,High
Lazeez,"Koramangala,Bangalore",4.3,500,"North Indian,Mughlai",Low
ITC Sunfeast Baked Creations,"Koramangala,Bangalore",4.6,600,"Bakery,Desserts",Medium
ITC Master Chef Creations,"Koramangala,Bangalore",4.4,650,"North Indian,Biryani",High
Miami Waffles & Jawbreakers,"Koramangala,Bangalore",4.3,200,"Waffle,Desserts",High
ITC Fabelle Chocolates,"Koramangala,Bangalore",4.8,600,"Bakery,Desserts",Medium
The Baker's Dozen,"Koramangala,Bangalore",4.3,300,"Bakery,Desserts",High
Tharavadu,"Koramangala,Bangalore",3.6,300,"Kerala,Seafood",High
SMOOR,"Koramangala,Bangalore",4.3,350,"Desserts,Ice Cream",High
