name,rating,votes,location,cuisines,cost(2),cost category
Jalsa,4,775,Banashankari,"North Indian, Mughlai, Chinese",800,Medium
Spice Elephant,4,787,Banashankari,"Chinese, North Indian, Thai",800,Medium
San Churro Cafe,4,918,Banashankari,"Cafe, Mexican, Italian",800,Medium
Addhuri Udupi Bhojana,4,88,Banashankari,"South Indian, North Indian",300,Low
Grand Village,4,166,Basavanagudi,"North Indian, Rajasthani",600,Medium
Timepass Dinner,4,286,Basavanagudi,North Indian,600,Medium
Rosewood International Hotel - Bar & Restaurant,4,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",800,Medium
Onesta,5,2556,Banashankari,"Pizza, Cafe, Italian",600,Medium
Penthouse Cafe,4,324,Banashankari,"Cafe, Italian, Continental",700,Medium
Smacznego,4,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550,Medium
Cafe Shuffle,4,150,Banashankari,"Cafe, Italian, Continental",600,Medium
The Coffee Shack,4,164,Banashankari,"Cafe, Chinese, Continental, Italian",500,Medium
Caf-Eleven,4,424,Banashankari,"Cafe, Continental",450,Low
Cafe Vivacity,4,90,Banashankari,Cafe,650,Medium
Catch-up-ino,4,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800,Medium
Kirthi's Biryani,4,144,Banashankari,"Chinese, Cafe, Italian",700,Medium
T3H Cafe,4,93,Banashankari,"Cafe, Italian, American",300,Low
360 Atoms Restaurant And Cafe,3,13,Banashankari,"Cafe, Chinese, Continental, Italian",400,Low
The Vintage Cafe,3,62,Banashankari,"Cafe, French, North Indian",400,Low
Woodee Pizza,4,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500,Medium
Cafe Coffee Day,4,28,Banashankari,"Cafe, Fast Food",900,Medium
My Tea House,4,62,Banashankari,"Italian, Fast Food, Cafe, European",600,Medium
Hide Out Cafe,4,31,Banashankari,Cafe,300,Low
CAFE NOVA,3,11,Banashankari,"Cafe, Bakery",600,Medium
Coffee Tindi,4,75,Banashankari,"Cafe, South Indian",200,Low
Sea Green Cafe,3,4,Banashankari,"Cafe, Fast Food, Beverages",500,Medium
Cuppa,3,23,Banashankari,"Cafe, Fast Food",550,Medium
Srinathji's Cafe,4,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550,Medium
Redberrys,4,219,Basavanagudi,"Cafe, Italian",600,Medium
Foodiction,3,506,Banashankari,"North Indian, Fast Food, Chinese, Burger",500,Medium
Sweet Truth,4,35,Banashankari,"Bakery, Desserts",500,Medium
Ovenstory Pizza,4,172,Banashankari,Pizza,750,Medium
Faasos,4,415,Banashankari,"North Indian, Biryani, Fast Food",500,Medium
Behrouz Biryani,4,230,Banashankari,Biryani,650,Medium
Fast And Fresh,3,91,Banashankari,"North Indian, Chinese, Fast Food",400,Low
Szechuan Dragon,4,1647,Banashankari,"Chinese, Thai, Momos",600,Medium
Empire Restaurant,4,4884,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750,Medium
Maruthi Davangere Benne Dosa,4,17,Banashankari,South Indian,150,Low
Chaatimes,4,133,Basavanagudi,"Street Food, Fast Food",200,Low
Havyaka Mess,4,28,Banashankari,South Indian,300,Low
McDonald's,4,286,Banashankari,"Burger, Fast Food",500,Medium
Domino's Pizza,4,540,Banashankari,"Pizza, Fast Food",800,Medium
Hotboxit,4,36,Banashankari,"North Indian, Continental, Italian",400,Low
Kitchen Garden,4,244,Kumaraswamy Layout,"North Indian, Chinese",300,Low
Recipe,4,804,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",450,Low
Beijing Bites,4,679,Rajarajeshwari Nagar,"Chinese, Thai",850,Medium
Tasty Bytes,3,245,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",300,Low
Petoo,4,21,Banashankari,North Indian,450,Low
